,Suburb,Rooms,Type,Distance,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Regionname,Price
1,Abbotsford,2,h,2.5,2.0,1.0,1.0,202.0,,,Northern Metropolitan,1480000.0
2,Abbotsford,2,h,2.5,2.0,1.0,0.0,156.0,79.0,1900.0,Northern Metropolitan,1035000.0
4,Abbotsford,3,h,2.5,3.0,2.0,0.0,134.0,150.0,1900.0,Northern Metropolitan,1465000.0
5,Abbotsford,3,h,2.5,3.0,2.0,1.0,94.0,,,Northern Metropolitan,850000.0
6,Abbotsford,4,h,2.5,3.0,1.0,2.0,120.0,142.0,2014.0,Northern Metropolitan,1600000.0
10,Abbotsford,2,h,2.5,2.0,1.0,0.0,181.0,,,Northern Metropolitan,941000.0
11,Abbotsford,3,h,2.5,4.0,2.0,0.0,245.0,210.0,1910.0,Northern Metropolitan,1876000.0
14,Abbotsford,2,h,2.5,2.0,1.0,2.0,256.0,107.0,1890.0,Northern Metropolitan,1636000.0
15,Abbotsford,3,h,2.5,,,,,,,Northern Metropolitan,1000000.0
16,Abbotsford,2,t,2.5,,,,,,,Northern Metropolitan,745000.0
17,Abbotsford,1,u,2.5,1.0,1.0,1.0,0.0,,,Northern Metropolitan,300000.0
18,Abbotsford,2,h,2.5,3.0,1.0,2.0,220.0,75.0,1900.0,Northern Metropolitan,1097000.0
19,Abbotsford,2,u,2.5,,,,,,,Northern Metropolitan,542000.0
21,Abbotsford,2,u,2.5,,,,,,,Northern Metropolitan,760000.0
22,Abbotsford,1,u,2.5,,,,,,,Northern Metropolitan,481000.0
23,Abbotsford,2,u,2.5,2.0,2.0,1.0,0.0,,,Northern Metropolitan,700000.0
24,Abbotsford,3,h,2.5,3.0,2.0,2.0,214.0,190.0,2005.0,Northern Metropolitan,1350000.0
25,Abbotsford,2,u,2.5,2.0,2.0,1.0,0.0,94.0,2009.0,Northern Metropolitan,750000.0
26,Abbotsford,4,h,2.5,,,,,,,Northern Metropolitan,1985000.0
27,Abbotsford,1,u,2.5,,,,,,,Northern Metropolitan,500000.0
28,Abbotsford,2,h,2.5,2.0,1.0,1.0,195.0,,,Northern Metropolitan,1172500.0
29,Abbotsford,1,u,2.5,1.0,1.0,1.0,0.0,,,Northern Metropolitan,441000.0
30,Abbotsford,2,h,2.5,2.0,1.0,2.0,238.0,97.0,1890.0,Northern Metropolitan,1310000.0
32,Abbotsford,3,h,2.5,3.0,2.0,1.0,113.0,110.0,1880.0,Northern Metropolitan,1200000.0
33,Abbotsford,2,t,2.5,,,,,,,Northern Metropolitan,847000.0
35,Abbotsford,3,h,2.5,2.0,1.0,1.0,138.0,105.0,1890.0,Northern Metropolitan,1176500.0
36,Abbotsford,3,h,2.5,3.0,1.0,0.0,183.0,,,Northern Metropolitan,955000.0
37,Abbotsford,2,h,2.5,2.0,1.0,1.0,150.0,73.0,1985.0,Northern Metropolitan,890000.0
38,Abbotsford,4,h,2.5,4.0,2.0,2.0,780.0,135.0,1900.0,Northern Metropolitan,1330000.0
40,Abbotsford,3,t,2.5,3.0,2.0,2.0,0.0,,2010.0,Northern Metropolitan,900000.0
41,Abbotsford,3,u,2.5,3.0,2.0,2.0,4290.0,27.0,,Northern Metropolitan,1090000.0
42,Abbotsford,2,u,2.5,2.0,1.0,1.0,0.0,60.0,1970.0,Northern Metropolitan,500000.0
43,Abbotsford,2,h,2.5,2.0,2.0,1.0,124.0,135.0,2013.0,Northern Metropolitan,1100000.0
44,Abbotsford,2,h,2.5,2.0,1.0,0.0,147.0,85.0,1900.0,Northern Metropolitan,1315000.0
45,Abbotsford,1,u,2.5,,,,,,,Northern Metropolitan,480000.0
46,Abbotsford,1,u,2.5,,,,,,,Northern Metropolitan,423500.0
48,Abbotsford,1,u,2.5,1.0,1.0,1.0,0.0,,,Northern Metropolitan,426000.0
49,Abbotsford,3,h,2.5,3.0,3.0,1.0,166.0,174.0,2012.0,Northern Metropolitan,1447500.0
50,Abbotsford,1,u,2.5,1.0,1.0,1.0,0.0,50.0,,Northern Metropolitan,457000.0
51,Abbotsford,2,h,2.5,2.0,2.0,2.0,98.0,128.0,1920.0,Northern Metropolitan,1135000.0
52,Abbotsford,2,h,2.5,,,,,,,Northern Metropolitan,700000.0
53,Abbotsford,4,h,2.5,4.0,3.0,1.0,0.0,,,Northern Metropolitan,1542000.0
